asset_id,name,kind,latitude,longitude,nearest_km,detections_5km,high_conf_5km,total_frp_5km,max_frp_5km,detections_10km,high_conf_10km,total_frp_10km,max_frp_10km,detections_25km,high_conf_25km,total_frp_25km,max_frp_25km,days_exposed_10km,max_consecutive_days_10km,last_exposure_10km,risk_score,risk_level
83,Porto de Pasaxes Moaña-Vigo,port,42.2754797,-8.7353872,2.26,5,2,43.9,19.8,8,2,47.2,19.8,21,3,148.2,22.1,3,2,2022-08-23,0.764,high
57,Monte Real Air Base,airport,39.828335,-8.8875,6.99,0,0,0.0,0.0,12,0,51.5,14.6,124,2,646.9,42.5,4,1,2022-10-01,0.761,high
84,Porto Comercial de Sines,port,37.9448052,-8.869441,6.1,0,0,0.0,0.0,8,0,16.8,4.0,13,0,29.2,4.0,8,2,2022-12-06,0.76,high
160,Terminal Petroquímico,port,37.9509393,-8.8806559,6.95,0,0,0.0,0.0,8,0,16.8,4.0,13,0,29.2,4.0,8,2,2022-12-06,0.76,high
62,Lisbon Humberto Delgado Airport,airport,38.7813,-9.13592,4.3,2,0,1.7,0.8,11,5,320.3,66.2,60,9,927.4,67.5,2,1,2022-07-10,0.749,high
3,Alicante-Elche Miguel Hernández Airport,airport,38.2822,-0.558156,0.8,1,0,4.4,4.4,6,0,36.6,29.3,40,4,268.4,29.3,3,1,2022-07-02,0.748,high
112,Puerto de Motril-Granada,port,36.7186349,-3.5226123,1.93,5,1,77.1,22.0,7,1,91.2,22.0,298,25,9274.5,489.7,2,1,2022-02-23,0.739,high
41,Valencia Airport,airport,39.489162,-0.480961,5.51,0,0,0.0,0.0,7,0,15.8,4.2,52,1,190.0,18.6,7,1,2022-09-05,0.737,high
80,Javea,port,38.7939915,0.1866984,6.22,0,0,0.0,0.0,6,0,20.2,6.1,15,0,97.5,21.4,5,2,2022-08-15,0.728,high
114,Porto de Lisboa - Terminal de Contentores de Alcântara,port,38.7000898,-9.1676027,3.44,1,0,2.0,2.0,6,0,28.8,12.0,53,9,913.3,67.5,3,1,2022-07-16,0.724,high
113,Estaleiro da Rocha do Conde de Óbidos,port,38.7036507,-9.159327,3.64,1,0,2.0,2.0,6,0,28.8,12.0,53,9,913.3,67.5,3,1,2022-07-16,0.724,high
101,Liscont,port,38.7007482,-9.1732727,3.71,1,0,2.0,2.0,6,0,28.8,12.0,51,9,907.2,67.5,3,1,2022-07-16,0.724,high
115,Porto de Lisboa - Terminal de Passageiros da Rocha do Conde de Óbidos,port,38.7016366,-9.1599236,3.43,1,0,2.0,2.0,6,0,28.8,12.0,53,9,913.3,67.5,3,1,2022-07-16,0.724,high
196,CSP Iberian Valencia Terminal,port,39.4325257,-0.3217545,3.24,2,0,8.0,4.7,5,0,12.8,4.7,51,0,154.2,18.6,4,1,2022-08-22,0.723,high
118,MSC Terminal,port,39.4404517,-0.3245813,2.52,3,0,8.3,4.7,5,0,12.8,4.7,52,0,156.4,18.6,4,1,2022-08-22,0.723,high
16,Girona-Costa Brava Airport,airport,41.904639,2.761774,2.64,3,0,11.3,5.1,5,0,21.3,5.6,20,2,634.2,163.1,3,1,2022-12-27,0.707,high
151,Portinho do Canal,port,37.7370816,-8.7994538,4.18,3,0,14.1,5.5,5,0,20.6,5.5,24,0,132.1,16.4,3,1,2022-03-10,0.705,high
44,Vigo Airport,airport,42.2318,-8.62677,5.63,0,0,0.0,0.0,6,2,44.4,19.8,51,7,372.6,27.4,3,2,2022-09-04,0.702,high
72,Puerto de Escombreras,port,37.569926,-0.9715942,4.18,4,0,5.2,1.8,4,0,5.2,1.8,6,0,7.5,1.9,4,1,2022-11-20,0.695,medium
35,Salamanca Airport,airport,40.952099,-5.50199,4.32,1,0,2.6,2.6,3,0,30.9,24.2,12,0,50.2,24.2,2,1,2022-06-27,0.682,medium
98,Porto Exterior da Coruña,port,43.3449263,-8.5109791,4.32,5,0,3.9,0.9,6,0,4.5,0.9,7,0,6.3,1.8,4,1,2022-08-30,0.678,medium
120,Porto da Coruña,port,43.3613585,-8.3956754,4.35,4,0,2.8,0.9,6,0,4.5,0.9,6,0,4.5,0.9,4,1,2022-08-30,0.678,medium
32,Ciudad Real International Airport,airport,38.856479,-3.969944,4.98,1,0,2.9,2.9,5,0,13.3,4.2,51,1,202.0,16.7,3,2,2022-10-08,0.675,medium
79,Dénia,port,38.8434433,0.1151613,7.78,0,0,0.0,0.0,5,0,14.1,5.5,170,5,2251.4,84.1,4,2,2022-02-17,0.672,medium
78,Denia,port,38.8436179,0.1125226,7.81,0,0,0.0,0.0,5,0,14.1,5.5,184,6,2455.1,84.1,4,2,2022-02-17,0.672,medium
85,Puerto Pesquero,port,36.4154268,-5.1551253,1.58,1,1,4.4,4.4,5,1,26.7,6.9,325,26,7006.6,312.6,2,1,2022-07-26,0.663,medium
39,Teruel Airport,airport,40.410269,-1.217366,6.44,0,0,0.0,0.0,4,0,10.6,3.8,13,0,51.0,14.5,4,1,2022-03-01,0.66,medium
28,Moron Air Base,airport,37.17490005493164,-5.615940093994141,3.48,3,0,1.4,0.5,5,0,7.7,3.2,39,1,128.9,21.1,3,1,2022-09-09,0.658,medium
30,Pamplona Airport,airport,42.77,-1.64633,7.86,0,0,0.0,0.0,5,0,4.8,1.2,313,35,6013.3,264.2,5,1,2022-12-01,0.657,medium
90,Doca Pesca,port,37.105655,-8.6712986,6.11,0,0,0.0,0.0,7,0,38.9,9.2,10,0,42.0,9.2,2,1,2022-11-02,0.638,medium
73,Puerto de Cartagena,port,37.5927246,-0.9808162,5.71,0,0,0.0,0.0,4,0,5.2,1.8,9,0,13.5,4.2,4,1,2022-11-20,0.635,medium
116,Dársena de Santiago,port,37.59695,-0.9746702,5.5,0,0,0.0,0.0,4,0,5.2,1.8,10,0,15.1,4.2,4,1,2022-11-20,0.635,medium
71,Port industrial d'Alcanar,port,40.5720766,0.5513185,1.09,1,0,0.7,0.7,3,0,4.8,2.4,11,0,33.3,5.9,3,1,2022-11-24,0.632,medium
29,Palma de Mallorca Airport,airport,39.551701,2.73881,1.55,3,0,3.9,3.0,3,0,3.9,3.0,9,0,11.1,3.0,3,1,2022-12-30,0.622,medium
108,Varadero,port,43.4530298,-3.8185809,4.68,1,0,0.5,0.5,4,0,3.8,1.4,49,0,125.0,13.0,3,1,2022-09-13,0.619,medium
20,Jerez Airport,airport,36.744598,-6.06011,7.88,0,0,0.0,0.0,4,1,29.3,12.2,28,1,184.9,46.7,2,1,2022-08-19,0.619,medium
195,Puerto de Santander,port,43.4474824,-3.8209504,4.05,1,0,0.5,0.5,4,0,3.8,1.4,58,0,153.8,13.0,3,1,2022-09-13,0.619,medium
45,Seve Ballesteros-Santander Airport,airport,43.427101,-3.82001,2.29,2,0,1.2,0.7,4,0,3.8,1.4,69,0,232.4,50.5,3,1,2022-09-13,0.619,medium
12,A Coruña Airport,airport,43.302101,-8.37726,7.74,0,0,0.0,0.0,6,0,4.5,0.9,6,0,4.5,0.9,4,1,2022-08-30,0.618,medium
